,ZIP,minority,fire,age,policies,income
1,60626,10,6.2,60.4,0,11.744
2,60640,22.2,9.5,76.5,0.1,9.323
3,60613,19.6,10.5,73.5,1.2,9.948
4,60657,17.3,7.7,66.9,0.5,10.656
5,60614,24.5,8.6,81.4,0.7,9.73
6,60610,54,34.1,52.6,0.3,8.231
7,60611,4.9,11,42.6,0,21.48
8,60625,7.1,6.9,78.5,0,11.104
9,60618,5.3,7.3,90.1,0.4,10.694
10,60647,21.5,15.1,89.8,1.1,9.631
11,60622,43.1,29.1,82.7,1.9,7.995
12,60631,1.1,2.2,40.2,0,13.722
13,60646,1,5.7,27.9,0,16.25
14,60656,1.7,2,7.7,0,13.686
15,60630,1.6,2.5,63.8,0,12.405
16,60634,1.5,3,51.2,0,12.198
17,60641,1.8,5.4,85.1,0,11.6
18,60635,1,2.2,44.4,0,12.765
19,60639,2.5,7.2,84.2,0.2,11.084
20,60651,13.4,15.1,89.8,0.8,10.51
21,60644,59.8,16.5,72.7,0.8,9.784
22,60624,94.4,18.4,72.9,1.8,7.342
23,60612,86.2,36.2,63.1,1.8,6.565
24,60607,50.2,39.7,83,0.9,7.459
25,60623,74.2,18.5,78.3,1.9,8.014
26,60608,55.5,23.3,79,1.5,8.177
27,60616,62.3,12.2,48,0.6,8.212
28,60632,4.4,5.6,71.5,0.3,11.23
29,60609,46.2,21.8,73.1,1.3,8.33
30,60653,99.7,21.6,65,0.9,5.583
31,60615,73.5,9,75.4,0.4,8.564
32,60638,10.7,3.6,20.8,0,12.102
33,60629,1.5,5,61.8,0,11.876
34,60636,48.8,28.6,78.1,1.4,9.742
35,60621,98.9,17.4,68.6,2.2,7.52
36,60637,90.6,11.3,73.4,0.8,7.388
37,60652,1.4,3.4,2,0,13.842
38,60620,71.2,11.9,57,0.9,11.04
39,60619,94.1,10.5,55.9,0.9,10.332
40,60649,66.1,10.7,67.5,0.4,10.908
